"scientificName","cadillac","Kingdom","Phylum","Class","Order","Family","Body.Length","Unit","Measurement.Type","Metric","Number.of.Individuals","Sex","Age","Lifestage","Level","Searched.By","Notes","Citation","Link","Time.Searched"
"Scolelepis bonnieri","n","Animalia","Annelida","Polychaeta",NA,"Spionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Scoloplos armiger","n","Animalia","Annelida","Polychaeta",NA,"Orbiniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Scoloplos robustus","n","Animalia","Annelida","Polychaeta",NA,"Orbiniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Sigambra tentaculata","n","Animalia","Annelida","Polychaeta","Phyllodocida","Pilargidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Spio filicornis","n","Animalia","Annelida","Polychaeta",NA,"Spionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Spiophanes kroyeri","n","Animalia","Annelida","Polychaeta",NA,"Spionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Sthenelais limicola","n","Animalia","Annelida","Polychaeta","Phyllodocida","Sigalionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Tharyx acutus","n","Animalia","Annelida","Polychaeta",NA,"Cirratulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Parasteatoda lunata","n","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Achelous spinicarpus","n","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Achelous spinimanus","n","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Alopecosa accentuata","n","Animalia","Arthropoda","Arachnida","Araneae","Lycosidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Alpheus clamator","n","Animalia","Arthropoda","Malacostraca","Decapoda","Alpheidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ampelisca abdita","n","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ampelisca brevicornis","n","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ampelisca macrocephala","n","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ampelisca tenuicornis","n","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampeliscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Androniscus dentiger","n","Animalia","Arthropoda","Malacostraca","Isopoda","Trichoniscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Aratus pisonii","y","Animalia","Arthropoda","Malacostraca","Decapoda","Sesarmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Argiope bruennichi","n","Animalia","Arthropoda","Arachnida","Araneae","Araneidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Armadillidium depressum","n","Animalia","Arthropoda","Malacostraca","Isopoda","Armadillidiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Armadillidium nasatum","n","Animalia","Arthropoda","Malacostraca","Isopoda","Armadillidiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Armadillidium pulchellum","n","Animalia","Arthropoda","Malacostraca","Isopoda","Armadillidiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Armadillidium vulgare","n","Animalia","Arthropoda","Malacostraca","Isopoda","Armadillidiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Asellus aquaticus","n","Animalia","Arthropoda","Malacostraca","Isopoda","Asellidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Austromegabalanus nigrescens","y","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Balanus crenatus","n","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Bathyporeia elegans","n","Animalia","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Bathyporeia guilliamsoniana","n","Animalia","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Bathyporeia tenuipes","n","Animalia","Arthropoda","Malacostraca","Amphipoda","Bathyporeiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Belzebub hanseni","n","Animalia","Arthropoda","Malacostraca","Decapoda","Luciferidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Belzebub intermedius","n","Animalia","Arthropoda","Malacostraca","Decapoda","Luciferidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Blaniulus guttulatus","n","Animalia","Arthropoda","Diplopoda","Julida","Blaniulidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Brachydesmus superus","n","Animalia","Arthropoda","Diplopoda","Polydesmida","Polydesmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Branchinecta paludosa","n","Animalia","Arthropoda","Branchiopoda","Anostraca","Branchinectidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Calanus sinicus","n","Animalia","Arthropoda","Hexanauplia","Calanoida","Calanidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Calappa sulcata","n","Animalia","Arthropoda","Malacostraca","Decapoda","Calappidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Callianassa subterranea","n","Animalia","Arthropoda","Malacostraca","Decapoda","Callianassidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Cancer oregonensis","n","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Catomerus polymerus","y","Animalia","Arthropoda","Maxillopoda","Sessilia","Catophragmidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Chamaesipho tasmanica","y","Animalia","Arthropoda","Maxillopoda","Sessilia","Chthamalidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Chionoecetes hybrid","n","Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Chionoecetes sp.","n","Animalia","Arthropoda","Malacostraca","Decapoda","Majidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Chthamalus antennatus","y","Animalia","Arthropoda","Maxillopoda","Sessilia","Chthamalidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Chthamalus malayensis","y","Animalia","Arthropoda","Maxillopoda","Sessilia","Chthamalidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Microeuraphia withersi","y","Animalia","Arthropoda","Maxillopoda","Sessilia","Chthamalidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Chthonius ischnocheles","n","Animalia","Arthropoda","Arachnida","Pseudoscorpiones","Chthoniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Clubiona pallidula","n","Animalia","Arthropoda","Arachnida","Araneae","Clubionidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Corystes cassivelaunus","n","Animalia","Arthropoda","Malacostraca","Decapoda","Corystidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Cryptops hortensis","n","Animalia","Arthropoda","Chilopoda","Scolopendromorpha","Cryptopidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Cylindroiulus latestriatus","n","Animalia","Arthropoda","Diplopoda","Julida","Julidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Diaea dorsata","n","Animalia","Arthropoda","Arachnida","Araneae","Thomisidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Diastylis bradyi","n","Animalia","Arthropoda","Malacostraca","Cumacea","Diastylidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Brigittea latens","n","Animalia","Arthropoda","Arachnida","Araneae","Dictynidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Austrominius modestus","n","Animalia","Arthropoda",NA,NA,"Elminiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Enoplognatha latimana","n","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Erigone arctica","n","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Erigone promiscua","n","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Eudorella truncatula","n","Animalia","Arthropoda","Malacostraca","Cumacea","Leuconidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Eudorellopsis deformis","n","Animalia","Arthropoda","Malacostraca","Cumacea","Leuconidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Geophilus carpophagus","n","Animalia","Arthropoda","Chilopoda","Geophilomorpha","Geophilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Geophilus flavus","n","Animalia","Arthropoda","Chilopoda","Geophilomorpha","Geophilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Geophilus insculptus","n","Animalia","Arthropoda","Chilopoda","Geophilomorpha","Geophilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Geophilus truncorum","n","Animalia","Arthropoda","Chilopoda","Geophilomorpha","Geophilidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Gibbaranea gibbosa","n","Animalia","Arthropoda","Arachnida","Araneae","Araneidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Glomeris marginata","n","Animalia","Arthropoda","Diplopoda","Glomerida","Glomeridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hahnia montana","n","Animalia","Arthropoda","Arachnida","Araneae","Hahniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Iberina montana","n","Animalia","Arthropoda","Arachnida","Araneae","Hahniidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Haplophthalmus danicus","n","Animalia","Arthropoda","Malacostraca","Isopoda","Trichoniscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Haplophthalmus mengii","n","Animalia","Arthropoda","Malacostraca","Isopoda","Trichoniscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Harpactea hombergi","n","Animalia","Arthropoda","Arachnida","Araneae","Dysderidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Harpinia antennaria","n","Animalia","Arthropoda","Malacostraca","Amphipoda","Phoxocephalidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Oreoneta frigida","n","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hippomedon denticulatus","n","Animalia","Arthropoda","Malacostraca","Amphipoda","Tryphosidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hyas sp.","n","Animalia","Arthropoda","Malacostraca","Decapoda","Majidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Hylyphantes graminicola","n","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Idotea balthica","n","Animalia","Arthropoda","Malacostraca","Isopoda","Idoteidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ixodes ricinus","n","Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Julus scandinavius","n","Animalia","Arthropoda","Diplopoda","Julida","Julidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Lacinius ephippiatus","n","Animalia","Arthropoda","Arachnida","Opiliones","Phalangiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Larinioides sclopetarius","n","Animalia","Arthropoda","Arachnida","Araneae","Araneidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Leiobunum blackwalli","n","Animalia","Arthropoda","Arachnida","Opiliones","Sclerosomatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Leiobunum rotundum","n","Animalia","Arthropoda","Arachnida","Opiliones","Sclerosomatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Tenuiphantes mengei","n","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Lepthyphantes obscurus","n","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Tenuiphantes zimmermanni","n","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ligidium hypnorum","n","Animalia","Arthropoda","Malacostraca","Isopoda","Ligiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Limnoria lignorum","n","Animalia","Arthropoda","Malacostraca","Isopoda","Limnoriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Limnoria quadripunctata","n","Animalia","Arthropoda","Malacostraca","Isopoda","Limnoriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Limnoria tripunctata","n","Animalia","Arthropoda","Malacostraca","Isopoda","Limnoriidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Lithobius borealis","n","Animalia","Arthropoda","Chilopoda","Lithobiomorpha","Lithobiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Lithobius calcaratus","n","Animalia","Arthropoda","Chilopoda","Lithobiomorpha","Lithobiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Lithobius melanops","n","Animalia","Arthropoda","Chilopoda","Lithobiomorpha","Lithobiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Lithobius microps","n","Animalia","Arthropoda","Chilopoda","Lithobiomorpha","Lithobiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Lithobius variegatus","n","Animalia","Arthropoda","Chilopoda","Lithobiomorpha","Lithobiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Penaeus setiferus","n","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Martensia fragilis","y","Animalia","Arthropoda","Malacostraca","Amphipoda","Lysianassidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Agyneta affinis","n","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Agyneta gulosa","n","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Agyneta rurestris","n","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Agyneta saxatilis","n","Animalia","Arthropoda","Arachnida","Araneae","Linyphiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Metacarcinus magister","n","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Mitopus morio","n","Animalia","Arthropoda","Arachnida","Opiliones","Phalangiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Nectocarcinus tuberculosus","n","Animalia","Arthropoda","Malacostraca","Decapoda","Ovalipidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Nemasoma varicorne","n","Animalia","Arthropoda","Diplopoda","Julida","Nemasomatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Nemastoma bimaculatum","n","Animalia","Arthropoda","Arachnida","Opiliones","Nemastomatidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Neobisium carcinoides","n","Animalia","Arthropoda","Arachnida","Pseudoscorpiones","Neobisiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Neoscona adianta","n","Animalia","Arthropoda","Arachnida","Araneae","Araneidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Nephrops norvegicus","n","Animalia","Arthropoda","Malacostraca","Decapoda","Nephropidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Oligolophus tridens","n","Animalia","Arthropoda","Arachnida","Opiliones","Phalangiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ommatoiulus sabulosus","n","Animalia","Arthropoda","Diplopoda","Julida","Julidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Oniscus asellus","n","Animalia","Arthropoda","Malacostraca","Isopoda","Oniscidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ophyiulus pilosus","n","Animalia","Arthropoda","Diplopoda","Julida","Julidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Oxyurostylis smithi","n","Animalia","Arthropoda","Malacostraca","Cumacea","Diastylidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Ozyptila praticola","n","Animalia","Arthropoda","Arachnida","Araneae","Thomisidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pandalus dispar","n","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pandalus eous","n","Animalia","Arthropoda","Malacostraca","Decapoda","Pandalidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Parapenaeus longirostris","n","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Paroligolophus agrestis","n","Animalia","Arthropoda","Arachnida","Opiliones","Phalangiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Pasiphaea sp.","n","Animalia","Arthropoda","Malacostraca","Decapoda","Pasiphaeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Penaeus aztecus","n","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
"Penaeus duorarum","n","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",""
