Species,Kingdom,Phylum,Class,Order,Family ,db,db_code,Body Length,Unit,Measurement Type,Metric,Number of Individuals,Sex,Age,Lifestage,Level,Searched By,Notes,Citation,Link,Time Searched
Lanice conchilega,Animalia,Annelida,Polychaeta,NA,Terebellidae,gbif,GBIF:2325106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Levinsenia gracilis,Animalia,Annelida,Polychaeta,NA,Paraonidae,gbif,GBIF:5197144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Magelona alleni,Animalia,Annelida,Polychaeta,NA,Magelonidae,gbif,GBIF:2320547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nephtys caeca,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,gbif,GBIF:2317037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nephtys cirrosa,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,gbif,GBIF:2316920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nephtys hombergii,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,gbif,GBIF:2317011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nephtys longosetosa,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,gbif,GBIF:2317019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nephtys picta,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,gbif,GBIF:2316959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Notomastus latericeus,Animalia,Annelida,Polychaeta,NA,Capitellidae,gbif,GBIF:2318104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ophelina acuminata,Animalia,Annelida,Polychaeta,NA,Opheliidae,gbif,GBIF:5197511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ophiodromus flexuosus,Animalia,Annelida,Polychaeta,Phyllodocida,Hesionidae,gbif,GBIF:7189800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Owenia fusiformis,Animalia,Annelida,Polychaeta,Sabellida,Oweniidae,gbif,GBIF:5199345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Paraprionospio pinnata,Animalia,Annelida,Polychaeta,NA,Spionidae,gbif,GBIF:2321421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Pectinaria gouldii,Animalia,Annelida,Polychaeta,NA,Pectinariidae,gbif,GBIF:5198816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Poecilochaetus serpens,Animalia,Annelida,Polychaeta,NA,Poecilochaetidae,gbif,GBIF:2321590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Polydora cornuta,Animalia,Annelida,Polychaeta,NA,Spionidae,gbif,GBIF:5197747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Sabellaria alveolata,Animalia,Annelida,Polychaeta,Sabellida,Sabellariidae,gbif,GBIF:5199252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Sabellaria vulgaris,Animalia,Annelida,Polychaeta,Sabellida,Sabellariidae,gbif,GBIF:5199263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Scalibregma inflatum,Animalia,Annelida,Polychaeta,NA,Scalibregmatidae,gbif,GBIF:7815303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Scolelepis bonnieri,Animalia,Annelida,Polychaeta,NA,Spionidae,gbif,GBIF:2321199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Scoloplos armiger,Animalia,Annelida,Polychaeta,NA,Orbiniidae,gbif,GBIF:2319789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Scoloplos robustus,Animalia,Annelida,Polychaeta,NA,Orbiniidae,gbif,GBIF:2319756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Sigambra tentaculata,Animalia,Annelida,Polychaeta,Phyllodocida,Pilargidae,gbif,GBIF:2316672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Spio filicornis,Animalia,Annelida,Polychaeta,NA,Spionidae,gbif,GBIF:5197861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Spiophanes kroyeri,Animalia,Annelida,Polychaeta,NA,Spionidae,gbif,GBIF:2321061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Spiophanes kroeyeri,Animalia,Annelida,Polychaeta,NA,Spionidae,gbif,GBIF:2321061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Sthenelais limicola,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,gbif,GBIF:2313008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Tharyx acutus,Animalia,Annelida,Polychaeta,NA,Cirratulidae,gbif,GBIF:2323964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Parasteatoda lunata,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,gbif,GBIF:4550746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achelous spinicarpus,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,gbif,GBIF:5974595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Achelous spinimanus,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,gbif,GBIF:5863626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alopecosa accentuata,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,gbif,GBIF:2147321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Alpheus clamator,Animalia,Arthropoda,Malacostraca,Decapoda,Alpheidae,gbif,GBIF:2226172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ampelisca abdita,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,gbif,GBIF:2219484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ampelisca brevicornis,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,gbif,GBIF:2219446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ampelisca macrocephala,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,gbif,GBIF:2219419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ampelisca tenuicornis,Animalia,Arthropoda,Malacostraca,Amphipoda,Ampeliscidae,gbif,GBIF:2219387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Androniscus dentiger,Animalia,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,gbif,GBIF:2208095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Aratus pisonii,Animalia,Arthropoda,Malacostraca,Decapoda,Sesarmidae,gbif,GBIF:5178602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Argiope bruennichi,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,gbif,GBIF:5170994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Armadillidium depressum,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,gbif,GBIF:2203804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Armadillidium nasatum,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,gbif,GBIF:2203739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Armadillidium pulchellum,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,gbif,GBIF:2203670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Armadillidium vulgare,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidiidae,gbif,GBIF:2203611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Asellus aquaticus,Animalia,Arthropoda,Malacostraca,Isopoda,Asellidae,gbif,GBIF:2206247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Austromegabalanus nigrescens,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,gbif,GBIF:4805569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Balanus crenatus,Animalia,Arthropoda,Maxillopoda,Sessilia,Balanidae,gbif,GBIF:2115701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bathyporeia elegans,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,gbif,GBIF:2216112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bathyporeia guilliamsoniana,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,gbif,GBIF:2216108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bathyporeia tenuipes,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,gbif,GBIF:2216114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Belzebub hanseni,Animalia,Arthropoda,Malacostraca,Decapoda,Luciferidae,gbif,GBIF:8952606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Belzebub intermedius,Animalia,Arthropoda,Malacostraca,Decapoda,Luciferidae,gbif,GBIF:9046083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Blaniulus guttulatus,Animalia,Arthropoda,Diplopoda,Julida,Blaniulidae,gbif,GBIF:1014383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Brachydesmus superus,Animalia,Arthropoda,Diplopoda,Polydesmida,Polydesmidae,gbif,GBIF:1020944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Branchinecta paludosa,Animalia,Arthropoda,Branchiopoda,Anostraca,Branchinectidae,gbif,GBIF:2235350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Calanus sinicus,Animalia,Arthropoda,Hexanauplia,Calanoida,Calanidae,gbif,GBIF:5166401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Calappa sulcata,Animalia,Arthropoda,Malacostraca,Decapoda,Calappidae,gbif,GBIF:5178364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Callianassa subterranea,Animalia,Arthropoda,Malacostraca,Decapoda,Callianassidae,gbif,GBIF:5178380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cancer oregonensis,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,gbif,GBIF:2222081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Catomerus polymerus,Animalia,Arthropoda,Maxillopoda,Sessilia,Catophragmidae,gbif,GBIF:5815337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Chamaesipho tasmanica,Animalia,Arthropoda,Maxillopoda,Sessilia,Chthamalidae,gbif,GBIF:4805491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Chionoecetes hybrid,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Bioshifts_v2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Chionoecetes sp.,Animalia,Arthropoda,Malacostraca,Decapoda,Majidae,Bioshifts_v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Chthamalus antennatus,Animalia,Arthropoda,Maxillopoda,Sessilia,Chthamalidae,gbif,GBIF:4805489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Chthamalus malayensis,Animalia,Arthropoda,Maxillopoda,Sessilia,Chthamalidae,gbif,GBIF:5862452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Microeuraphia withersi,Animalia,Arthropoda,Maxillopoda,Sessilia,Chthamalidae,gbif,GBIF:7009069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Eurapha withersi,Animalia,Arthropoda,Maxillopoda,Sessilia,Chthamalidae,gbif,GBIF:7009069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Chthonius ischnocheles,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chthoniidae,gbif,GBIF:5167566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Clubiona pallidula,Animalia,Arthropoda,Arachnida,Araneae,Clubionidae,gbif,GBIF:2143922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Corystes cassivelaunus,Animalia,Arthropoda,Malacostraca,Decapoda,Corystidae,gbif,GBIF:5716132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cryptops hortensis,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Cryptopidae,gbif,GBIF:5179309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Cylindroiulus latestriatus,Animalia,Arthropoda,Diplopoda,Julida,Julidae,gbif,GBIF:1013547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Diaea dorsata,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,gbif,GBIF:2165401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Diastylis bradyi,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,gbif,GBIF:2214508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Dictyna latens,Animalia,Arthropoda,Arachnida,Araneae,Dictynidae,gbif,GBIF:8267901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Austrominius modestus,Animalia,Arthropoda,NA,NA,Elminiidae,gbif,GBIF:2115769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Enoplognatha latimana,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,gbif,GBIF:2158051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Erigone arctica,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,gbif,GBIF:2137723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Erigone promiscua,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,gbif,GBIF:2137715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Eudorella truncatula,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,gbif,GBIF:2215501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Eudorellopsis deformis,Animalia,Arthropoda,Malacostraca,Cumacea,Leuconidae,gbif,GBIF:2215600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Geophilus carpophagus,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,gbif,GBIF:2233622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Geophilus flavus,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,gbif,GBIF:2233687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Geophilus insculptus,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,gbif,GBIF:2233761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Geophilus truncorum,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,gbif,GBIF:2233732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Brachygeophilus truncorum,Animalia,Arthropoda,Chilopoda,Geophilomorpha,Geophilidae,gbif,GBIF:2233732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Gibbaranea gibbosa,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,gbif,GBIF:2158811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Glomeris marginata,Animalia,Arthropoda,Diplopoda,Glomerida,Glomeridae,gbif,GBIF:9728038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hahnia montana,Animalia,Arthropoda,Arachnida,Araneae,Hahniidae,gbif,GBIF:5168736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Iberina montana,Animalia,Arthropoda,Arachnida,Araneae,Hahniidae,gbif,GBIF:8102850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Haplophthalmus danicus,Animalia,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,gbif,GBIF:2208212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Haplophthalmus mengii,Animalia,Arthropoda,Malacostraca,Isopoda,Trichoniscidae,gbif,GBIF:6098926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Harpactea hombergii,Animalia,Arthropoda,Arachnida,Araneae,Dysderidae,gbif,GBIF:2139120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Harpinia antennaria,Animalia,Arthropoda,Malacostraca,Amphipoda,Phoxocephalidae,gbif,GBIF:2217253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Oreoneta frigida,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,gbif,GBIF:2135551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hippomedon denticulatus,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,gbif,GBIF:2218221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hyas sp.,Animalia,Arthropoda,Malacostraca,Decapoda,Majidae,Bioshifts_v1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Hylyphantes graminicola,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,gbif,GBIF:2134541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Idotea baltica,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,gbif,GBIF:5176195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ixodes ricinus,Animalia,Arthropoda,Arachnida,Ixodida,Ixodidae,gbif,GBIF:2182588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Julus scandinavius,Animalia,Arthropoda,Diplopoda,Julida,Julidae,gbif,GBIF:4985859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lacinius ephippiatus,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,gbif,GBIF:4553401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Larinioides sclopetarius,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,gbif,GBIF:2159209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Leiobunum blackwalli,Animalia,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,gbif,GBIF:4553482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Leiobunum rotundum,Animalia,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,gbif,GBIF:4553472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lepthyphantes mengei,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,gbif,GBIF:2135969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lepthyphantes obscurus,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,gbif,GBIF:6098888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lepthyphantes zimmermanni,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,gbif,GBIF:2135973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ligidium hypnorum,Animalia,Arthropoda,Malacostraca,Isopoda,Ligiidae,gbif,GBIF:4416652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Limnoria lignorum,Animalia,Arthropoda,Malacostraca,Isopoda,Limnoriidae,gbif,GBIF:5175946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Limnoria quadripunctata,Animalia,Arthropoda,Malacostraca,Isopoda,Limnoriidae,gbif,GBIF:5175936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Limnoria tripunctata,Animalia,Arthropoda,Malacostraca,Isopoda,Limnoriidae,gbif,GBIF:5175940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lithobius borealis,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,gbif,GBIF:2229538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lithobius calcaratus,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,gbif,GBIF:2230106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lithobius melanops,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,gbif,GBIF:2230166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lithobius microps,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,gbif,GBIF:2229915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lithobius variegatus,Animalia,Arthropoda,Chilopoda,Lithobiomorpha,Lithobiidae,gbif,GBIF:2230514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Litopenaeus setiferus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,gbif,GBIF:2223875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Penaeus setiferus,Animalia,Arthropoda,Malacostraca,Decapoda,Penaeidae,gbif,GBIF:2223875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Martensia fragilis,Animalia,Arthropoda,Malacostraca,Amphipoda,Lysianassidae,gbif,GBIF:10857289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Meioneta affinis,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,gbif,GBIF:8064249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Meioneta gulosa,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,gbif,GBIF:7807210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Meioneta rurestris,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,gbif,GBIF:7785418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Meioneta saxatilis,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,gbif,GBIF:7786426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Metacarcinus magister,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,gbif,GBIF:5863764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Mitopus morio,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae,gbif,GBIF:4553358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
